OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,500,13.55,78.3,600,"19,750.00","1,500",428.55,606.1,"1,500",-,-,-,-,-,-
"1,335",-557,"6,108",8.51,26.7,-23.35,250,26.5,28.95,200,"19,800.00","1,550",493.45,669.05,250,99.6,483.45,11.18,11,1,7
-,-,-,-,-,-,500,8.85,63,600,"19,850.00","1,500",523.85,689.3,"1,500",-,-,-,-,-,-
774,434,"1,936",8.92,19,-14.8,600,18.85,19,150,"19,900.00","1,500",583.75,711.85,"1,500",-,-,-,-,-,-
3,-,-,-,82.85,-,50,7.8,50.55,600,"19,950.00","1,500",622.8,777.7,"1,550",-,-,-,-,-,-
"1,363",728,"3,021",9.34,13.7,-7.95,200,13.7,13.9,350,"20,000.00","1,500",679.15,789,"1,550",122.5,696.15,15.28,32,31,31
-,-,-,-,-,-,500,5.75,39.55,600,"20,050.00","1,500",720.75,916,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,500,5.15,35.95,"2,100","20,100.00","1,500",770,890.2,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,500,5.05,31.7,"2,100","20,150.00","1,500",819.9,939.95,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,450,4.55,26.4,"2,100","20,200.00","1,500",869.4,990.4,"1,500",-,-,-,-,-,-
-,-,-,-,-,-,400,4.5,20.7,"2,100","20,250.00","1,500",919.4,"1,044.60","1,500",-,-,-,-,-,-
-,-,-,-,-,-,600,4.4,15.6,"2,100","20,300.00","1,500",969.3,"1,092.55","1,500",-,-,-,-,-,-
-,-,-,-,-,-,150,4.25,11,"1,800","20,350.00","1,500","1,019.10","1,151.05","1,500",-,-,-,-,-,-
307,37,609,11.41,5.3,-1.75,100,5.15,8.45,600,"20,400.00","1,500","1,070.15","1,190.05","1,500",-,-,-,-,-,-
-,-,-,-,-,-,100,4.05,6.9,300,"20,450.00","1,500","1,118.90","1,248.10","1,500",-,-,-,-,-,-
246,207,321,12.22,5.1,-1.25,100,4.4,5.1,100,"20,500.00","1,500","1,169.30","1,299.05","1,500",-,-,-,-,-,-
-,-,-,-,-,-,100,3.55,6.5,100,"20,550.00","1,500","1,218.40","1,371.30","1,500",-,-,-,-,-,-
-,-,-,-,-,-,100,3.45,6.5,100,"20,600.00","1,500","1,268.30","1,426.75","1,500",-,-,-,-,-,-
15,9,10,13.27,4.5,-0.6,600,3.8,6,500,"20,650.00","1,500","1,318.65","1,484.15","1,500",-,-,-,-,-,-
32,-,15,13.33,3.75,-1,50,3.35,5,50,"20,700.00","1,500","1,368.20","1,536.20","1,000",-,-,-,-,-,-
49,39,41,13.85,3.95,0.15,100,3.95,4,50,"20,750.00","1,500","1,418.80","1,528.55","1,500",-,-,-,-,-,-
8,2,9,14.53,4.5,-,800,2.6,4,50,"20,800.00","1,500","1,467.45","1,579.80","1,500",-,-,-,-,-,-
15,3,4,14.69,4,0.5,800,2.7,4.5,150,"20,850.00","1,500","1,517.55","1,630.85","1,500",-,-,-,-,-,-
32,-,-,-,3.95,-,800,2.6,4,50,"20,900.00","1,500","1,567.45","1,682.45","1,500",-,-,-,-,-,-
-,-,-,-,-,-,"1,800",2.35,4.5,50,"20,950.00","1,500","1,617.20","1,737.25","1,500",-,-,-,-,-,-
152,2,17,15.22,2.9,-0.35,100,2.7,3.5,50,"21,000.00","1,500","1,667.65","1,789.25","1,500",-,-,-,-,-,-
86,-1,3,15.31,2.5,-0.95,50,2.5,4,50,"21,050.00","1,500","1,717.35","1,841.35","1,500",-,-,-,-,-,-
