OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"1,105",-75,153,-,"2,432.50",-265.5,250,"2,414.90","2,428.85",50,"16,800.00","2,24,450",0.65,0.75,"1,65,650",-0.4,0.65,38.46,"34,081","6,465","15,000"
-,-,-,-,-,-,100,"2,342.65","2,409.40","1,800","16,850.00","36,250",0.6,0.65,650,-0.55,0.65,37.71,"32,662","2,112","2,245"
40,-7,10,-,"2,367.90",-99.25,200,"2,311.90","2,337.40",400,"16,900.00","2,72,350",0.65,0.7,"10,000",-0.45,0.65,36.96,"30,517","4,474","4,791"
-,-,-,-,-,-,"1,800","2,235.70","2,312.80","1,800","16,950.00","32,950",0.65,0.85,"1,150",0.15,1.05,36.21,"15,474","1,561","1,653"
"6,735",-285,454,-,"2,220.00",-164.35,300,"2,214.95","2,224.50",50,"17,000.00","3,68,500",0.65,0.7,"1,01,250",-0.35,0.65,35.46,"61,380","6,897","27,249"
3,-,-,-,"2,300.45",-,"1,500","2,029.60","2,254.25","1,500","17,050.00","33,800",0.65,0.7,"3,600",-0.3,0.65,34.96,"8,927",575,671
194,-,-,-,"2,398.65",-,250,"2,110.75","2,124.75",100,"17,100.00","69,300",0.65,0.7,"19,050",-0.65,0.65,33.96,"10,936","1,319","1,816"
1,-,-,-,"2,201.05",-,"1,800","2,038.90","2,153.00","1,500","17,150.00","11,700",0.65,0.8,350,-0.65,0.65,33.22,"4,162",-89,534
153,-,2,-,"2,092.40",-112.6,200,"2,009.55","2,035.60",200,"17,200.00","10,500",0.7,0.8,"5,300",-0.65,0.7,32.71,"4,832",-527,932
-,-,-,-,-,-,"1,800","1,932.05","2,123.10","4,250","17,250.00","3,350",0.65,1.5,100,-0.65,0.65,32.59,"2,539",206,343
255,-3,11,-,"1,942.00",-210.35,200,"1,909.30","1,929.75",200,"17,300.00","12,300",0.7,0.75,"24,150",-0.75,0.7,31.21,"11,978","2,891","4,662"
-,-,-,-,-,-,"1,500","1,766.30","1,949.40","1,500","17,350.00","8,950",0.75,1.1,"1,800",-0.6,0.75,30.68,"4,564",203,288
337,-53,61,-,"1,876.30",-157.7,50,"1,809.65","1,837.80",400,"17,400.00","1,800",0.8,0.85,"1,200",-0.65,0.8,30.32,"10,297",-199,"2,673"
-,-,-,-,-,-,"3,250","1,697.25","1,847.95","1,500","17,450.00","3,400",0.75,0.85,"3,200",-0.55,0.75,29.18,"3,457",198,304
"2,413",-93,251,-,"1,720.00",-175.55,900,"1,716.20","1,741.55","1,300","17,500.00","52,500",0.85,0.9,"7,000",-0.5,0.95,28.8,"42,236","2,721","26,523"
-,-,-,-,-,-,200,"1,656.45","1,733.45","1,500","17,550.00","4,000",0.8,0.95,"3,350",-0.6,0.95,28.37,"9,184","-1,757",942
562,-23,33,-,"1,660.00",-140,200,"1,613.20","1,629.00",300,"17,600.00","2,550",0.95,1.05,"2,150",-0.5,1.05,27.91,"22,885","-3,015","2,591"
-,-,-,-,-,-,"1,000","1,559.35","1,633.55","1,000","17,650.00",800,0.85,1.85,"1,400",-0.8,0.85,26.53,"5,326",190,540
312,-57,108,36.83,"1,606.40",-97.6,200,"1,517.90","1,528.75",600,"17,700.00","13,800",0.85,0.95,"1,200",-0.8,0.85,26.08,"27,136","-3,245","2,993"
-,-,-,-,-,-,"1,400","1,457.00","1,517.95",200,"17,750.00","14,250",0.85,0.95,"2,000",-0.7,0.85,25.01,"15,965",689,926
332,-55,95,-,"1,476.10",-111.05,200,"1,415.60","1,434.70",200,"17,800.00","90,400",0.95,1,"11,550",-0.65,1,24.55,"44,992","3,181","9,874"
7,-,-,-,"1,590.00",-,"1,150","1,358.05","1,412.15","1,150","17,850.00","1,000",1.05,1.1,"3,050",-0.6,1.1,24.18,"20,927",359,763
