OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
238,-21,64,-,"1,376.10",-139.15,200,"1,315.45","1,345.75","1,200","17,900.00","51,600",1.05,1.1,"1,750",-0.4,1.1,23.29,"63,448","1,027","17,122"
-,-,-,-,"1,450.00",-,"1,150","1,256.65","1,313.80","1,150","17,950.00","11,300",1.15,1.2,"14,000",-0.45,1.2,22.86,"26,833","1,241","1,558"
"8,793","-1,162","3,485",-,"1,222.70",-165.6,250,"1,223.10","1,229.80","3,250","18,000.00","1,350",1.45,1.5,950,-0.1,1.55,22.59,"2,31,566",-175,"94,330"
3,-,-,-,"1,379.10",-,"1,000","1,158.95","1,220.35","1,150","18,050.00",400,1.4,1.85,100,-0.2,1.55,21.79,"31,178",726,862
533,-26,54,-,"1,128.60",-153.4,200,"1,117.75","1,126.90",150,"18,100.00","4,700",1.6,1.7,"1,000",-0.1,1.7,21.41,"93,105","-3,481","6,277"
4,-,-,-,"1,626.00",-,150,"1,058.30","1,119.85","1,150","18,150.00",250,1.65,1.9,50,0.05,1.95,20.6,"36,584",227,"1,192"
446,-104,151,-,"1,035.20",-164.8,200,"1,020.95","1,028.80",200,"18,200.00","4,600",1.65,2,"7,700",0.05,2,20.22,"1,37,192",705,"14,289"
16,-,7,-,"1,016.55",-129,"1,700",944.9,"1,013.85","1,450","18,250.00",450,1.85,1.95,250,0.4,2.35,19.39,"47,362",498,"1,265"
567,-102,263,-,939.7,-172.75,200,911.25,927.45,100,"18,300.00","9,350",1.95,2,"20,700",-,2,18.56,"1,72,074","8,251","21,209"
67,36,57,-,909.05,-175.95,"6,600",846.5,881.95,"4,100","18,350.00",800,2,2.05,"2,200",-0.4,1.65,17.79,"52,181","1,230","2,238"
539,-158,383,-,825,-187.5,600,821.55,830.4,200,"18,400.00",550,2.2,2.45,"1,800",0.05,2.2,17.12,"2,03,692","20,764","39,113"
55,-,15,-,800.05,-135.45,"2,700",771.65,814.3,"4,450","18,450.00",750,2.5,2.65,"1,000",0.45,2.6,16.67,"64,076","1,630","4,705"
"9,745",324,"2,618",-,723.25,-182.95,100,724.65,727.45,200,"18,500.00",50,2.7,2.95,800,0.7,3,16.12,"5,29,224","34,234","1,12,312"
102,-1,30,-,678.65,-219.3,"2,700",661.65,708.65,150,"18,550.00","20,500",2.65,3.5,50,0.15,2.65,14.99,"1,00,722","3,879","6,661"
"1,715",-83,256,-,627.75,-157.45,"3,250",622.7,628.8,150,"18,600.00",50,3.4,3.75,50,1.1,3.75,14.92,"3,21,931","8,082","35,829"
128,19,52,-,579.65,-171.3,350,570.6,579.5,50,"18,650.00","1,700",4,4.05,100,1.2,4.1,14.16,"1,67,001",-885,"9,424"
"2,447",-,733,-,533,-161.6,"2,600",520.9,539.95,"3,500","18,700.00",100,4.75,4.95,100,1.75,5.1,13.77,"6,01,476","4,804","66,442"
160,-13,238,-,478.3,-169.4,"2,450",475.7,507.75,"1,250","18,750.00","4,600",6.3,6.55,150,2.15,6.3,13.38,"3,38,270","11,586","19,789"
"2,561",282,"3,113",-,432.35,-173.65,100,430,433.15,200,"18,800.00",50,8.45,8.55,550,3.45,8.45,13.17,"7,70,369","1,584","72,077"
502,54,782,-,384.35,-154.05,"3,600",379.35,389.5,50,"18,850.00",300,10.8,11.8,700,4.55,10.9,12.85,"4,03,650","7,662","20,824"
"2,714",-147,"7,106",-,335.55,-158.45,200,335.35,340.25,300,"18,900.00","1,350",14.7,14.85,800,7,14.65,12.71,"10,27,037","21,571","76,529"
890,661,"3,717",-,293.1,-151.75,"4,200",267.25,294.45,50,"18,950.00",500,19.65,19.95,"6,600",10.3,19.65,12.56,"6,57,673","8,397","31,305"
"18,074","1,877","99,533",-,252,-153.9,250,248.85,251.85,100,"19,000.00","1,500",27,27.1,"2,300",14.7,27.2,12.51,"19,81,714","38,031","1,70,401"
972,654,"21,848",-,210.2,-154.9,50,208,211,50,"19,050.00",750,36.35,36.5,100,20.8,36.45,12.49,"9,58,137","16,481","32,610"
"11,882","8,784","2,26,012",-,172.65,-144.2,200,172.25,172.6,100,"19,100.00",750,49.25,49.6,100,29.25,49.2,12.6,"17,55,952","46,060","97,157"
"5,253","4,341","2,13,342",-,138.9,-128.45,50,138.5,139.25,50,"19,150.00",150,65.2,65.6,750,39,65.8,12.82,"14,30,022","26,122","47,141"
"47,482","36,290","12,34,481",4.45,108.6,-123.65,50,108.55,109.2,750,"19,200.00",900,85.45,85.85,400,50.4,85.95,13.05,"33,62,815","40,262","1,24,165"
"52,745","49,180","18,01,508",5.7,83,-108.95,750,83,83.25,750,"19,250.00",200,110.25,110.8,50,62.7,109.55,13.53,"29,43,025","16,185","48,551"
"2,03,396","1,66,166","50,71,250",6.42,62.05,-95.1,50,61.9,61.95,50,"19,300.00",200,138.1,138.65,50,76.05,138.15,13.89,"48,31,426","21,157","1,15,026"
"85,536","69,608","22,81,654",6.89,44.95,-80.6,750,44.8,45.25,700,"19,350.00",100,172,172.55,50,92.4,173.1,14.73,"11,40,812","-9,205","21,393"
"1,99,980","91,426","28,88,215",7.37,32.8,-64.95,750,32.55,32.8,"4,400","19,400.00",800,208.8,209,100,108.35,209.05,15.4,"11,43,516","-34,853","81,579"
"1,06,951","48,023","13,95,177",7.82,23.95,-50.4,750,23.6,23.95,600,"19,450.00",250,248.7,250.1,100,124.7,250.1,16.45,"1,95,072","-7,941","21,321"
"2,44,931","17,523","22,43,404",8.18,17.05,-36.7,50,17.05,17.15,150,"19,500.00","1,450",293.95,294,"1,850",135.65,293.05,17.63,"3,68,332","-20,122","82,590"
"77,893","21,843","10,69,578",8.57,12.2,-26.3,750,12.25,12.5,"2,400","19,550.00",50,338.15,339.45,300,145.95,339.35,18.74,"37,336","-3,338","8,046"
"1,59,016","27,152","14,75,967",8.96,9.05,-17.95,"1,800",9,9.1,50,"19,600.00",850,385.05,385.85,150,153.95,385.05,20,"78,061","-10,963","20,443"
"89,246","40,625","9,10,424",9.33,6.6,-11.4,"2,800",6.55,6.65,"1,300","19,650.00",50,431.9,434.35,300,157.65,432.8,21.32,"5,781",-351,"2,960"
"1,67,518","54,704","9,99,325",9.92,5.45,-6.95,50,5.4,5.45,50,"19,700.00",250,481.35,482.2,50,162.25,476.05,22.97,"16,244","-3,390","18,240"
"70,759","32,362","6,42,807",10.67,4.95,-3.35,"56,150",4,4.95,500,"19,750.00",150,528.85,532.15,50,171.15,530.85,24.12,"1,324",-141,"1,808"
"1,68,068","76,785","10,47,565",10.89,3.5,-2.55,500,3.35,3.65,250,"19,800.00",150,577.2,581.8,350,170.25,578,25.19,"6,966",-328,"18,003"
"52,836","22,972","4,67,753",11.46,3,-1.55,100,2.95,3.1,50,"19,850.00",200,627.15,631.15,150,174.4,631.45,27.1,382,-173,"1,076"
"77,597","-10,339","6,90,113",11.95,2.5,-1.3,100,2.45,2.75,"3,550","19,900.00",200,676.65,682.05,200,172.2,677.95,28.01,"1,259",-230,"2,652"
"34,931","14,290","2,53,386",12.81,2.55,-0.7,"5,250",2.25,2.55,50,"19,950.00",50,727.25,731.1,100,168.85,727.2,29.32,115,-25,537
"1,64,927","-5,162","8,62,162",13.36,2.25,-0.75,300,2.2,2.25,"1,550","20,000.00",250,750.1,780,50,176.25,780,31.05,"6,430",34,"19,458"
"18,551","1,969","1,34,040",13.43,1.55,-0.85,"6,900",1.5,2.3,500,"20,050.00",400,823.05,831.9,200,158.8,800.7,27.59,55,-7,551
"52,338","8,449","3,12,409",14.52,1.85,-0.4,"1,400",1.65,1.9,450,"20,100.00","3,350",874.35,882.55,300,176.75,880,33.7,134,-67,"1,779"
"11,193","4,701","67,058",15.5,2.05,-0.1,150,1.4,2.1,"1,950","20,150.00","3,900",923.35,931.65,200,164.05,899.8,29.84,19,-16,594
"40,485",-509,"2,21,731",15.66,1.55,-0.5,50,1.6,1.75,"2,950","20,200.00",400,977.05,980.9,200,170,966.05,33.97,415,-203,"1,607"
"4,617","1,028","56,502",16.1,1.35,-0.65,"1,300",1.35,1.85,350,"20,250.00","3,550","1,009.65","1,037.05",200,75.55,938.1,-,1,-1,577
"31,443","2,804","1,82,666",17.18,1.6,-0.3,"1,000",1.55,1.6,"5,250","20,300.00",950,"1,077.00","1,080.55",600,111,"1,028.00",28.46,307,-55,"1,433"
"4,353","2,345","50,353",17.61,1.4,-0.5,"12,700",1.4,1.6,450,"20,350.00","2,250","1,115.20","1,136.80","2,300",92.1,"1,058.45",22.67,8,-7,161
"21,667","2,060","1,53,717",18.55,1.55,-0.2,250,1.4,1.55,"2,500","20,400.00","1,000","1,161.95","1,182.25",800,144,"1,149.00",35.47,19,-16,608
"2,268","1,059","46,226",18.93,1.35,-0.4,"14,900",1.3,1.75,"1,100","20,450.00","2,450","1,188.95","1,265.65","2,550",166.05,"1,211.05",39.02,6,-6,81
"70,786","-4,082","4,16,943",19.88,1.5,-0.25,"18,550",1.35,1.5,"24,550","20,500.00",500,"1,268.30","1,277.60",250,154.05,"1,258.75",39.71,318,-131,"3,789"
"1,840",520,"41,478",20.13,1.25,-0.4,"1,750",1.25,1.5,"2,850","20,550.00",200,"1,296.10","1,344.10","1,850",-,"1,136.60",-,-,-,20
"11,656",913,"95,568",21.76,1.8,0.15,"2,200",1.35,1.8,"14,500","20,600.00",200,"1,373.00","1,381.20",150,-,"1,048.00",-,-,-,114
"1,598",31,"35,241",22.05,1.55,-0.15,"1,800",1.1,1.5,"1,400","20,650.00","1,950","1,383.40","1,443.45","1,800",-,"1,175.80",-,-,-,8
"17,204","6,622","74,771",22.55,1.45,-0.05,"1,500",1.35,1.45,"12,500","20,700.00",200,"1,464.75","1,480.70",50,156.35,"1,426.50",36.16,23,-11,57
"1,204",507,"20,831",22.26,1,-0.6,"1,750",1,1.8,500,"20,750.00",200,"1,479.70","1,544.85",200,-,802.45,-,-,-,1
"14,967","5,871","53,483",23.81,1.4,-0.1,"14,050",1.25,1.45,"9,500","20,800.00",200,"1,563.55","1,580.75",150,138.15,"1,520.15",35.95,8,-7,93
526,255,"9,881",23.56,1,-0.4,"1,750",1,1.7,200,"20,850.00",50,"1,566.65","1,644.25","1,250",-,"1,288.35",-,-,-,2
"11,983","5,848","29,124",25.24,1.45,-,250,1.15,1.4,"1,100","20,900.00",150,"1,656.80","1,684.65","1,300",212.75,"1,611.60",34.09,1,-1,27
632,-188,"5,242",24.85,1,-0.4,"4,350",1,2,"1,000","20,950.00",50,"1,666.55","1,744.95","1,300",-,"1,289.10",-,-,-,13
"93,845","16,223","1,60,100",26.12,1.25,-0.25,"9,650",1.2,1.25,"33,050","21,000.00",50,"1,773.80","1,779.05",200,163,"1,776.95",54.52,953,-455,"7,682"
612,-10,"4,524",26.26,1.05,-0.3,800,1.05,1.35,750,"21,050.00","1,500","1,765.65","1,845.20",200,-,-,-,-,-,-
"10,079","2,757","15,543",27.65,1.35,-,"2,950",1.05,1.35,"4,650","21,100.00","1,500","1,811.85","1,899.50",450,-,"1,181.05",-,-,-,1
499,99,"3,610",28.64,1.5,0.1,"5,400",0.8,1.5,50,"21,150.00","1,800","1,862.90","2,078.60","1,500",-,-,-,-,-,-
"27,435",850,"51,690",27.7,0.9,-0.55,"1,20,150",0.9,0.95,"2,200","21,200.00",450,"1,957.90","1,981.05",50,250.65,"1,911.65",39.3,1,-1,27
"1,718",253,"9,544",28.15,0.85,-0.4,"1,800",0.85,1.05,"1,300","21,250.00","1,500","1,954.40","2,073.05","1,000",-,-,-,-,-,-
"11,601","5,844","54,387",28.76,0.85,-0.5,"1,12,000",0.85,0.9,"1,800","21,300.00",450,"2,057.05","2,087.25",100,237,"2,042.00",52.43,11,-,25
"1,618","1,439","32,113",29.37,0.85,-0.4,"57,900",0.85,0.9,"5,700","21,350.00","1,500","1,996.35","2,369.25","1,500",-,-,-,-,-,-
"10,853","3,495","35,329",29.97,0.85,-0.45,"31,350",0.85,0.9,"35,350","21,400.00",400,"2,113.40","2,202.85",600,-,-,-,-,-,-
"4,397","1,191","18,848",30.57,0.85,-0.5,"27,650",0.85,1,300,"21,450.00","1,500","2,092.85","2,279.40","1,000",-,-,-,-,-,-
"56,704","15,942","1,48,720",31.36,0.9,-0.4,"2,84,950",0.85,0.9,"1,08,500","21,500.00",200,"2,268.35","2,282.70",50,240.85,"2,259.30",60.94,88,-72,"1,671"
