OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"9,336","-4,036","51,955",9.08,12.2,-12.7,400,12.2,12.4,250,"19,800.00",50,536.2,547.5,"1,750",161.35,543.55,16.68,"3,902","-1,175","1,003"
"1,595",439,"8,840",9.3,10.05,-9.3,50,9.55,10.05,600,"19,850.00","2,250",557.95,593.95,50,234.65,505.8,-,24,6,7
"5,277","1,875","26,882",9.4,7.6,-7.2,250,7.6,7.9,450,"19,900.00",250,631.75,642.25,250,143.65,611.55,15.4,137,22,92
-,-,-,-,-,-,50,6.2,24.4,"3,900","19,950.00","1,500",621.05,776.65,"1,500",-,-,-,-,-,-
"7,233",290,"29,077",9.98,5.3,-4.35,"1,450",5.3,6,50,"20,000.00",200,730,740.5,250,155.55,722.55,18.4,272,41,129
-,-,-,-,-,-,450,4.15,12.15,"3,900","20,050.00","1,500",718.95,882.85,"1,500",-,-,-,-,-,-
"2,352","2,199","8,558",10.89,4.6,-1.9,50,4.05,4.6,50,"20,100.00",250,801.05,897.1,"1,500",-,499.1,-,-,-,1
-,-,-,-,-,-,300,3.5,6.45,600,"20,150.00","1,500",818.35,"1,002.40","1,500",-,-,-,-,-,-
"1,595",180,"4,545",11.55,3.55,-1.55,500,3.35,3.7,100,"20,200.00",250,900.9,973.1,"1,500",22.75,850,-,1,1,1
181,13,373,11.96,3.3,-2.05,700,2.7,5.55,250,"20,250.00","1,500",918.1,"1,121.55","1,500",-,-,-,-,-,-
414,381,706,12.32,3,-1.6,"1,550",3,3.5,500,"20,300.00","1,500",967.9,"1,087.75","1,500",-,-,-,-,-,-
113,14,45,12.84,3,-1.6,"1,400",2.6,3.55,400,"20,350.00","1,500","1,017.45","1,136.20","1,500",-,-,-,-,-,-
"1,221",320,"1,618",13.27,2.85,-1.05,"1,800",2.7,3.95,400,"20,400.00","1,500","1,067.70","1,185.90","1,500",-,-,-,-,-,-
12,8,16,13.46,2.4,-1.1,"1,400",2.3,4.35,"1,050","20,450.00","1,500","1,117.15","1,236.75","1,500",-,-,-,-,-,-
"2,881","1,716","5,013",14.29,2.85,-0.55,"2,200",2.85,2.9,"2,650","20,500.00",250,"1,224.80","1,245.50",500,-,-,-,-,-,-
57,24,67,14.98,3.1,-0.15,600,2.3,3.1,450,"20,550.00","1,500","1,217.15","1,377.55","1,500",-,-,-,-,-,-
62,-17,92,15.19,2.7,-0.8,150,2.45,3,300,"20,600.00","1,500","1,267.30","1,373.65","1,500",-,-,-,-,-,-
14,5,6,15.96,3.05,-0.85,600,2.2,3.15,450,"20,650.00","1,500","1,317.05","1,425.45","1,500",-,-,-,-,-,-
288,-175,662,16.06,2.55,-0.7,200,2.15,2.6,350,"20,700.00","1,500","1,367.35","1,477.05","1,500",-,"1,325.00",-,-,-,1
34,-,-,-,3.35,-,"1,000",2.1,2.8,450,"20,750.00","1,500","1,416.95","1,529.95","1,500",-,-,-,-,-,-
133,11,75,17.04,2.55,0.1,50,2.55,2.7,650,"20,800.00","1,500","1,467.40","1,582.30","1,500",-,-,-,-,-,-
87,68,100,17.43,2.45,-0.05,50,2,2.4,400,"20,850.00","1,500","1,516.85","1,634.30","1,500",-,-,-,-,-,-
234,131,598,17.95,2.5,0.1,150,2.4,2.55,450,"20,900.00","1,500","1,567.25","1,687.55","1,500",-,-,-,-,-,-
67,-1,85,18.13,2.2,-0.15,950,1.95,3.3,600,"20,950.00","1,500","1,616.80","1,741.30","1,500",-,-,-,-,-,-
949,372,"1,941",18.75,2.35,-,"2,250",2.35,2.45,350,"21,000.00",250,"1,722.25","1,806.10","1,500",-,-,-,-,-,-
20,12,12,19.47,2.6,0.2,50,2,2.7,200,"21,050.00","1,500","1,716.85","1,844.05","1,500",-,-,-,-,-,-
297,-19,138,19.69,2.35,0.1,50,2.05,2.35,400,"21,100.00","1,500","1,767.05","1,894.95","1,500",-,-,-,-,-,-
239,7,320,19.87,2.1,0.1,100,2.05,2.75,750,"21,150.00","1,500","1,817.05","1,945.85","1,500",-,-,-,-,-,-
